Id,cross_id,tgraph_id
028533,[r40842]|[r40844],28533
049801,[r71536]|[r71532],49801
049800,[r71531]|[r71535],49800
030097,[r42550]|[r42552],30097
030098,[r42553]|[r42551],30098
032139,[r45441]|[r45443],32139
032140,[r45444]|[r45442],32140
028587,[r40883]|[r40892],28587
031070,"[r43848,r43849]|[r43850,r43854]",31070
028552,[r40857]|[r41317],28552
028551,[r41316]|[r40856],28551
029372,"[r41671]|[r41670,r41676]",29372
033161,[r46907]|[r46906],33161
029105,"[r41360,r42399,r42854]|[r41359,r41361,r42400]",29105
029079,"[r45455,r45458]|[r41334,r45457]",29079
029077,"[r41361,r42248]|[r41333,r41658]",29077
032152,[r45467]|[r46907],32152
031079,"[r43862,r45270]|[r43861,r45466]",31079
028289,[r40615]|[r40617],28289
028288,[r40616]|[r40614],28288
028070,"[r40426,r40429]|[r40428,r40550]",28070
030358,[r42924]|[r42923],30358
034949,"[r50144,r50146]|[r50145,r50147]",34949
028505,"[r40817,r45448,r48921]|[r40816,r45269,r48922]",28505
029380,"[r41691,r41692,r43171]|[r41693,r43170,r48931]",29380
029069,"[r41324,r41326]|[r41325,r42924]",29069
027928,"[r40294,r49708]|[r40295,r40296]",27928
029034,"[r41289,r41686,r46949]|[r41685,r46948]",29034
027802,"[r40203,r40231,r42558]|[r40204,r40230,r42559]",27802
028071,"[r40428,r40555]|[r40427,r40429]",28071
034329,"[r48919,r48922,r48923]|[r48920,r48921,r48924]",34329
028503,"[r40814,r48916]|[r40813,r40815]",28503
028492,"[r40797,r42172,r45266]|[r40796,r42171,r45265]",28492
027948,[r40314]|[r40316],27948
027947,[r40315]|[r40313],27947
028549,[r40856]|[r40854],28549
028550,[r40855]|[r40857],28550
028274,[r40596]|[r40595],28274
032913,[r46544]|[r46524],32913
032912,[r46523]|[r46545],32912
022940,"[r32399,r36456]|[r32394,r36457]",22940
022378,"[r32104,r32385]|[r31650,r32105]",22378
022937,"[r32409,r33896]|[r32391,r33895]",22937
022933,"[r32384,r32390]|[r32401,r39943]",22933
025682,[r36442]|[r49690],25682
022938,"[r32393,r39945]|[r32392,r32396]",22938
032910,[r46522]|[r46561],32910
032909,[r46560]|[r46521],32909
032999,[r46605]|[r46603],32999
032998,[r46602]|[r46604],32998
034318,[r77461]|[r48903],34318
034321,[r48904]|[r77462],34321
033009,[r46784]|[r46618],33009
033012,[r46619]|[r46785],33012
027974,[r40335]|[r40549],27974
027975,[r40548]|[r40336],27975
034740,"[r49688,r49691]|[r49689,r49694]",34740
034741,"[r49690]|[r49691,r49692]",34741
032954,[r46571]|[r46557],32954
032953,[r46556]|[r46570],32953
049802,[r71532]|[r71550],49802
049799,[r71549]|[r71531],49799
029062,[r42552]|[r41318],29062
029063,[r41319]|[r42553],29063
030520,[r45443]|[r43142],30520
030519,[r43141]|[r45444],30519
028596,[r40892]|[r40893],28596
030527,"[r43153]|[r43847,r43848]",30527
031071,[r43852]|[r43849],31071
031072,[r43850]|[],31072
029373,"[r41672,r41675,r41676]|[r41673,r41674]",29373
028265,"[r41670,r41673,r43148]|[r40587,r41672,r42178]",28265
029973,[r42397]|[r42399],29973
